ine_id,nombre
15,"A CORUÑA"
03,ALACANT
02,ALBACETE
04,ALMERIA
33,ASTURIAS
05,AVILA
06,BADAJOZ
08,BARCELONA
09,BURGOS
10,CACERES
11,CADIZ
39,CANTABRIA
12,CASTELLO
51,CEUTA
13,"CIUDAD REAL"
14,CORDOBA
16,CUENCA
17,GIRONA
18,GRANADA
19,GUADALAJARA
21,HUELVA
22,HUESCA
07,"ILLES BALEARS"
23,JAEN
26,"LA RIOJA"
35,"LAS PALMAS"
24,LEON
25,LLEIDA
27,LUGO
28,MADRID
29,MALAGA
52,MELILLA
30,MURCIA
32,OURENSE
34,PALENCIA
36,PONTEVEDRA
38,"S.C. TENERIFE"
37,SALAMANCA
40,SEGOVIA
41,SEVILLA
42,SORIA
43,TARRAGONA
44,TERUEL
45,TOLEDO
46,VALENCIA
47,VALLADOLID
49,ZAMORA
50,ZARAGOZA
